Recall Number||Report Date||Product||Recalling Firm||Product Type||Recall Reason
F-1396-2019||20190529||HoliCare Metabolism Cleansing (MET-CLS) tablets, 60 count bottle||Life Rising Corporation||Food||High lead levels in products
F-1027-2019||20190227||Kronos SAUCE TZATZIKI FRESH||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0961-2019||20190227||MACYS CHEESE CHEESE STX CHD SCALLION||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1598-2019||20190731||Publix 12 CT Brown & Serve Rolls 12 CT UPC 41415 31190 9||FLOWERS FOODS||Food||The products have the potential to contain small pieces of hard plastic introduced during production process.
F-1305-2019||20190501||Trace Minerals Dietary Supplement , 16.2 fl oz (480 mL) bottles, Packaged in dark blue plastic bottles, For freshness, keep refrigerated after opening||Mineralife LLC||Food||The dietary supplement product is potentially contaminated with Pseudomonas aeruginosa
F-0963-2019||20190227||SMITHFIELD CHEESE CREAM||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1036-2019||20190227||Yoplait YOGURT STRAWBERRY LIGHT||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1303-2019||20190501||MONARCH SOUTHERN BARBECUE SAUCE MADE WITH MUSTARD NET 128 FL OZ(1 GAL) 3.78L INGREDIENTS: WATER, HIGH FRUTOSE CORN SRYUP, SUGAR, TOMATO PASTE, DISTILLED AND CIDER VINEGAR, SALT  ***DISTRIBUTED BY/DISTRIBUIDO POR US FOODS, INC., ROSEMOUNT, IL 60015 UPC 7 58108 60016 4||The CF Sauer Company||Food||Monarch Southern BBQ contains soy and wheat. The firm had labels that properly described the product as Monarch Southern BBQ, but did not have the correct UPC, nutrition panel, ingredient statement or allergen declaration.
F-1006-2019||20190227||Grand Prairie EGG SCRAMBLED PRCK REFRIG||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0983-2020||20200617||Wild Harvest Organic Fresh Basil packaged in the following sized plastic containers:    Net Wt 2 oz (57g), UPC 11535-50762,   Net Wt 0.25 oz. (7g), UPC 11535-50450,    Net Wt 0.75 oz. (21g), UPC 11535-50322,    Net Wt. 4 oz. (113g), UPC 11535-50323.        Distributed by Supervalu, Inc., Eden Prairie, MN  55344||UNFI General Corporate||Food||Wild Harvest Organic Basil has the potential to be contaminated with Cyclospora cayetanensis.
F-0067-2019||20181031||Callie's Charleston Biscuits COUTRY HAM BISCUITS; 18  NET WT. 18 OZ (510 g) Callie's Charleston Biscuits; 1895 Avenue F, Charleston, SC 18405 843 577.1198; CALLIESBISCUITS.COM||Callie's Charleston Biscuits||Food||The firm was notified by one of their vendors that the ham used in their product may be contaminated with Listeria monocytogenes
F-0759-2020||20200311||Blendtopia Superfood Smoothie Kit Glow flavor, 7 oz flexible pouch||Blendtopia Products, LLC||Food||Potential contamination of Listeria monocytogenes.
F-2269-2016||20160921||2nd EXPANSION 5/31/2016   Sunrich Naturals Chili Lime flavored Sunflower Kernels, packaged under the following sizes:  1.  Net Wt. 1 oz. plastic bag, UPC 10304-01214;    2.  Net Wt. 1.2 oz. (34g), UPC 10304-03214 .     Product of USA.   Distributed by Sunrich Consumer Brands, Hope, MN  56046||SunOpta Food and Grain, Inc.||Food||SunOpta is recalling sunflower kernel products that have the potential to be contaminated with Listeria monocytogenes.      EXPANDED 5/18/2016    SunOpta expanded their recall of roasted sunflower kernel products to include the production dates of February 20 - April 26, 2016 due to potential Listeria monocytogenes contamination.      2nd EXPANSION 5/31/2016  SunOpta expanded their recall to include product produced at their Crookston, MN facility, still within expiry, to include the production dates of May 31, 2015 thru January 31, 2016
F-0951-2019||20190227||Schreiber CHEESE AMER SLICE 184 CT||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0953-2019||20190227||Roth Kase CHEESE BLND FIREHOUSE ULTMTE 2/5lb CASE||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0975-2019||20190227||CAHILL¿ CHEESE IRISH GUINNESS CHDR¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0982-2019||20190227||BELGIO CHEESE PROVOLONE MED PICCANTE¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1002-2020||20200701||NOW Real Food Raw Macadamia Nuts Unsalted   8 oz retail bag   UPC 733739071194  Item number 7119||NOW Health Group Inc.||Food||The product tested positive for Salmonella enterica.
F-1023-2019||20190227||CREMINE SALAMI DRY MILANO GENOA STY¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2465-2017||20170719||HIPP Tetrapack-Liquid , Single Serve Combiotik Hungry Infant, 200mL (6pk/24cases), HIPP Tetrapak-Liquid, Single Serve Combiotik First Infant Milk, 200mL (6pk/case)||3CS ORGANICS LLC||Food||The product is not FDA approved and not all products are labeled in English.
F-2300-2017||20170614||AUNT JEMIMA(R) HOMESTYLE FRENCH TOAST, 6 COUNT, NET WT 12.5oz, UPC 019600057703||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-1009-2019||20190227||Packer KALE FRESH LACINATO-TUSCAN¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0992-2019||20190227||Van Camp CRAB MEAT HAANII LUMP PAST||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0029-2019||20181024||Harris Teeter Low Fat FROZEN YOGURT cookies & cream 1.5 QUART (1.42l) CONTAINS: MILK, WHEAT, SOY PROUDLY DISTRIBUTED BY: HARRIS TEETER, LLC MATTHEWS, NC 28105 UPC 0 72036 98182 0||Harris Teeter||Food||The firm was notified by a customer of  peanut butter cups in the product. The product contains peanuts and coconut oil that is not listed in the ingredient statement.
F-2302-2017||20170614||AUNT JEMIMA(R)  FRENCH TOAST MADE WITH WHOLE GRAIN, 6 COUNT, NET WT 12.5oz, UPC 019600059684; Aunt Jemima(R) French toast made with Whole Grain, 72 COUNT, NET WT 11.25 LBS, UPC 001960043583||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-2295-2017||20170614||AUNT JEMIMA(R) 12 BLUEBERRY PANCAKES, NET WT 14.8oz UPC 019600064701||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-0987-2019||20190227||Harbor Seafood CRAB MEAT BACKFIN PAST ASIA||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1606-2019||20190731||L'OVEN FRESH 8CT KAISER BUNS UPC 41498 11722 1||FLOWERS FOODS||Food||The products have the potential to contain small pieces of hard plastic introduced during production process.
F-2317-2017||20170614||Aunt Jemima(R) Cinnamon Swirl Thick French Toast, 144 COUNT, NET WT 10.7 LBS, UPC 001960043584||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-1035-2019||20190227||Yoplait YOGURT STRAW/STRAW BAN LT CUP||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1028-2019||20190227||Packer SHALLOT DRY FRESH¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
